"id","name","uom_id:id","type","purchase_ok","sale_ok"
LSS-SLAMB,Lamb,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-SWEAN,Weaner Lamb,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-SEWE,Ewe,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-SWTH,Wether,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-SRAM,Ram,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CCALV,Calf,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CWEN,Weaner Calf,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CCOW,Cow,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CHEI,Heifer,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CST18,Steer,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CST36,Ox,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-CBULL,Bull,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-GKID,Kid,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-GWEAN,Weaner Kid,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-GEWE,Ewe,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-GCAST,Castrate,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-GRAM,Ram,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-RKIT,Kit,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-RWEN,Weaner Kit,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-RDOE,Doe,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-RLAP,Lapin,agri_uom_heads,livestock-sales,TRUE,TRUE
LSS-RBUC,Buck,agri_uom_heads,livestock-sales,TRUE,TRUE
LSP-MILK,Milk,uom.product_uom_litre,livestock-products,,TRUE
LSP-WOOL,Wool,uom.product_uom_kgm,livestock-products,,TRUE
LSP-LFUR,Fur,uom.product_uom_kgm,livestock-products,,TRUE
CPS-CROP,Crop,uom.product_uom_ton,crop-sales,,TRUE
FRS-FRUT,Fruit,uom.product_uom_ton,fruit-sales,,TRUE
EST-DRAN,Drainage,agri_uom_sum,establishment,TRUE,
EST-IRRG,Irrigation equipment,agri_uom_sum,establishment,TRUE,
