"id","agri_budget_template_id:id","product_category_id:id"
crop_crop_sales_crop,crop,product_category_crop_sales_crop
crop_pre_harvest_fertiliser,crop,product_category_pre_harvest_fertiliser
crop_pre_harvest_fungicide,crop,product_category_pre_harvest_fungicide
crop_pre_harvest_hedging_cost,crop,product_category_pre_harvest_hedging_cost
crop_pre_harvest_herbicide,crop,product_category_pre_harvest_herbicide
crop_pre_harvest_hail_insurance,crop,product_category_pre_harvest_hail_insurance
crop_pre_harvest_yield_insurance,crop,product_category_pre_harvest_yield_insurance
crop_pre_harvest_lime,crop,product_category_pre_harvest_lime
crop_pre_harvest_pesticide,crop,product_category_pre_harvest_pesticide
crop_pre_harvest_production_credit_interest,crop,product_category_pre_harvest_production_credit_interest
crop_pre_harvest_seed,crop,product_category_pre_harvest_seed
crop_pre_harvest_aerial_spraying,crop,product_category_pre_harvest_aerial_spraying
crop_harvest_harvest_labour,crop,product_category_harvest_harvest_labour
crop_harvest_harvesting_cost,crop,product_category_harvest_harvesting_cost
crop_marketing_crop_marketing_fees,crop,product_category_marketing_crop_marketing_fees
crop_marketing_crop_transport,crop,product_category_marketing_crop_transport
crop_indirect_depreciation,crop,product_category_indirect_depreciation
crop_indirect_fuel,crop,product_category_indirect_fuel
crop_indirect_lubrication,crop,product_category_indirect_lubrication
crop_indirect_repairs_maintenance,crop,product_category_indirect_repairs_maintenance
crop_indirect_electricity,crop,product_category_indirect_electricity
crop_indirect_water,crop,product_category_indirect_water
crop_indirect_permanent_labour,crop,product_category_indirect_permanent_labour
crop_indirect_scheduling,crop,product_category_indirect_scheduling
crop_indirect_other_overheads,crop,product_category_indirect_other_overheads
permanent_crop_fruit_sales_fruit,permanent-crop,product_category_fruit_sales_fruit
permanent_crop_establishment_drainage,permanent-crop,product_category_establishment_drainage
permanent_crop_establishment_irrigation_equipment,permanent-crop,product_category_establishment_irrigation_equipment
permanent_crop_establishment_land_preparation,permanent-crop,product_category_establishment_land_preparation
permanent_crop_establishment_trellising,permanent-crop,product_category_establishment_trellising
permanent_crop_establishment_plant_material,permanent-crop,product_category_establishment_plant_material
permanent_crop_pre_harvest_consultants,permanent-crop,product_category_pre_harvest_consultants
permanent_crop_pre_harvest_electricity,permanent-crop,product_category_pre_harvest_electricity
permanent_crop_pre_harvest_fertiliser,permanent-crop,product_category_pre_harvest_fertiliser
permanent_crop_pre_harvest_fuel,permanent-crop,product_category_pre_harvest_fuel
permanent_crop_pre_harvest_fungicide,permanent-crop,product_category_pre_harvest_fungicide
permanent_crop_pre_harvest_general,permanent-crop,product_category_pre_harvest_general
permanent_crop_pre_harvest_lime,permanent-crop,product_category_pre_harvest_lime
permanent_crop_pre_harvest_herbicide,permanent-crop,product_category_pre_harvest_herbicide
permanent_crop_pre_harvest_hail_insurance,permanent-crop,product_category_pre_harvest_hail_insurance
permanent_crop_pre_harvest_yield_insurance,permanent-crop,product_category_pre_harvest_yield_insurance
permanent_crop_pre_harvest_pesticide,permanent-crop,product_category_pre_harvest_pesticide
permanent_crop_pre_harvest_growth_regulators,permanent-crop,product_category_pre_harvest_growth_regulators
permanent_crop_pre_harvest_pollination,permanent-crop,product_category_pre_harvest_pollination
permanent_crop_pre_harvest_production_credit_interest,permanent-crop,product_category_pre_harvest_production_credit_interest
permanent_crop_pre_harvest_repairs_maintenance,permanent-crop,product_category_pre_harvest_repairs_maintenance
permanent_crop_pre_harvest_seasonal_labour,permanent-crop,product_category_pre_harvest_seasonal_labour
permanent_crop_pre_harvest_aerial_spraying,permanent-crop,product_category_pre_harvest_aerial_spraying
permanent_crop_harvest_fuel,permanent-crop,product_category_harvest_fuel
permanent_crop_harvest_drying_cleaning,permanent-crop,product_category_harvest_drying_cleaning
permanent_crop_harvest_harvest_labour,permanent-crop,product_category_harvest_harvest_labour
permanent_crop_harvest_harvest_transport,permanent-crop,product_category_harvest_harvest_transport
permanent_crop_harvest_packing_cost,permanent-crop,product_category_harvest_packing_cost
permanent_crop_harvest_packaging_material,permanent-crop,product_category_harvest_packaging_material
permanent_crop_harvest_repairs_maintenance,permanent-crop,product_category_harvest_repairs_maintenance
permanent_crop_harvest_storage,permanent-crop,product_category_harvest_storage
permanent_crop_marketing_horticulture_marketing_fees,permanent-crop,product_category_marketing_horticulture_marketing_fees
permanent_crop_marketing_fruit_transport,permanent-crop,product_category_marketing_fruit_transport
permanent_crop_indirect_depreciation,permanent-crop,product_category_indirect_depreciation
permanent_crop_indirect_fuel,permanent-crop,product_category_indirect_fuel
permanent_crop_indirect_lubrication,permanent-crop,product_category_indirect_lubrication
permanent_crop_indirect_repairs_maintenance,permanent-crop,product_category_indirect_repairs_maintenance
permanent_crop_indirect_electricity,permanent-crop,product_category_indirect_electricity
permanent_crop_indirect_water,permanent-crop,product_category_indirect_water
permanent_crop_indirect_permanent_labour,permanent-crop,product_category_indirect_permanent_labour
permanent_crop_indirect_scheduling,permanent-crop,product_category_indirect_scheduling
permanent_crop_indirect_license,permanent-crop,product_category_indirect_license
permanent_crop_indirect_insurance_assets,permanent-crop,product_category_indirect_insurance_assets
permanent_crop_indirect_other_overheads,permanent-crop,product_category_indirect_other_overheads
cattle_livestock_cattle_calf,cattle,product_category_livestock_cattle_calf
cattle_livestock_cattle_weaner_calf,cattle,product_category_livestock_cattle_weaner_calf
cattle_livestock_cattle_cow,cattle,product_category_livestock_cattle_cow
cattle_livestock_cattle_heifer,cattle,product_category_livestock_cattle_heifer
cattle_livestock_cattle_steer,cattle,product_category_livestock_cattle_steer
cattle_livestock_cattle_ox,cattle,product_category_livestock_cattle_ox
cattle_livestock_cattle_bull,cattle,product_category_livestock_cattle_bull
cattle_livestock_products_milk,cattle,product_category_livestock_products_milk
cattle_animal_feed_crop,cattle,product_category_animal_feed_crop
cattle_animal_feed_lick,cattle,product_category_animal_feed_lick
cattle_husbandry_drenching_vaccination,cattle,product_category_husbandry_drenching_vaccination
cattle_husbandry_dipping_jetting,cattle,product_category_husbandry_dipping_jetting
cattle_husbandry_veterinary,cattle,product_category_husbandry_veterinary
cattle_marketing_livestock_sales_marketing_fees,cattle,product_category_marketing_livestock_sales_marketing_fees
cattle_marketing_livestock_products_marketing_fees,cattle,product_category_marketing_livestock_products_marketing_fees
cattle_marketing_livestock_transport,cattle,product_category_marketing_livestock_transport
cattle_indirect_fuel,cattle,product_category_indirect_fuel
cattle_indirect_repairs_maintenance,cattle,product_category_indirect_repairs_maintenance
cattle_indirect_electricity,cattle,product_category_indirect_electricity
cattle_indirect_water,cattle,product_category_indirect_water
cattle_indirect_permanent_labour,cattle,product_category_indirect_permanent_labour
cattle_indirect_license,cattle,product_category_indirect_license
cattle_indirect_insurance_assets,cattle,product_category_indirect_insurance_assets
cattle_indirect_other_overheads,cattle,product_category_indirect_other_overheads
game_livestock_cattle_calf,game,product_category_livestock_cattle_calf
game_livestock_cattle_weaner_calf,game,product_category_livestock_cattle_weaner_calf
game_livestock_cattle_cow,game,product_category_livestock_cattle_cow
game_livestock_cattle_heifer,game,product_category_livestock_cattle_heifer
game_livestock_cattle_steer,game,product_category_livestock_cattle_steer
game_livestock_cattle_ox,game,product_category_livestock_cattle_ox
game_livestock_cattle_bull,game,product_category_livestock_cattle_bull
game_livestock_products_wool,game,product_category_livestock_products_wool
game_livestock_products_fur,game,product_category_livestock_products_fur
game_animal_feed_crop,game,product_category_animal_feed_crop
game_animal_feed_lick,game,product_category_animal_feed_lick
game_husbandry_drenching_vaccination,game,product_category_husbandry_drenching_vaccination
game_husbandry_dipping_jetting,game,product_category_husbandry_dipping_jetting
game_husbandry_veterinary,game,product_category_husbandry_veterinary
game_marketing_livestock_sales_marketing_fees,game,product_category_marketing_livestock_sales_marketing_fees
game_marketing_livestock_products_marketing_fees,game,product_category_marketing_livestock_products_marketing_fees
game_marketing_livestock_transport,game,product_category_marketing_livestock_transport
game_indirect_fuel,game,product_category_indirect_fuel
game_indirect_repairs_maintenance,game,product_category_indirect_repairs_maintenance
game_indirect_electricity,game,product_category_indirect_electricity
game_indirect_water,game,product_category_indirect_water
game_indirect_permanent_labour,game,product_category_indirect_permanent_labour
game_indirect_license,game,product_category_indirect_license
game_indirect_insurance_assets,game,product_category_indirect_insurance_assets
game_indirect_other_overheads,game,product_category_indirect_other_overheads
goats_livestock_goats_kid,goats,product_category_livestock_goats_kid
goats_livestock_goats_weaner_kid,goats,product_category_livestock_goats_weaner_kid
goats_livestock_goats_ewe,goats,product_category_livestock_goats_ewe
goats_livestock_goats_castrate,goats,product_category_livestock_goats_castrate
goats_livestock_goats_ram,goats,product_category_livestock_goats_ram
goats_livestock_products_wool,goats,product_category_livestock_products_wool
goats_livestock_products_milk,goats,product_category_livestock_products_milk
goats_animal_feed_crop,goats,product_category_animal_feed_crop
goats_animal_feed_lick,goats,product_category_animal_feed_lick
goats_husbandry_drenching_vaccination,goats,product_category_husbandry_drenching_vaccination
goats_husbandry_dipping_jetting,goats,product_category_husbandry_dipping_jetting
goats_husbandry_veterinary,goats,product_category_husbandry_veterinary
goats_husbandry_shearing,goats,product_category_husbandry_shearing
goats_husbandry_crutching,goats,product_category_husbandry_crutching
goats_marketing_livestock_sales_marketing_fees,goats,product_category_marketing_livestock_sales_marketing_fees
goats_marketing_livestock_products_marketing_fees,goats,product_category_marketing_livestock_products_marketing_fees
goats_marketing_livestock_transport,goats,product_category_marketing_livestock_transport
goats_indirect_fuel,goats,product_category_indirect_fuel
goats_indirect_repairs_maintenance,goats,product_category_indirect_repairs_maintenance
goats_indirect_electricity,goats,product_category_indirect_electricity
goats_indirect_water,goats,product_category_indirect_water
goats_indirect_permanent_labour,goats,product_category_indirect_permanent_labour
goats_indirect_license,goats,product_category_indirect_license
goats_indirect_insurance_assets,goats,product_category_indirect_insurance_assets
goats_indirect_other_overheads,goats,product_category_indirect_other_overheads
rabbits_livestock_rabbits_kit,rabbits,product_category_livestock_rabbits_kit
rabbits_livestock_rabbits_weaner_kit,rabbits,product_category_livestock_rabbits_weaner_kit
rabbits_livestock_rabbits_doe,rabbits,product_category_livestock_rabbits_doe
rabbits_livestock_rabbits_lapin,rabbits,product_category_livestock_rabbits_lapin
rabbits_livestock_rabbits_buck,rabbits,product_category_livestock_rabbits_buck
rabbits_livestock_products_wool,rabbits,product_category_livestock_products_wool
rabbits_livestock_products_fur,rabbits,product_category_livestock_products_fur
rabbits_husbandry_drenching_vaccination,rabbits,product_category_husbandry_drenching_vaccination
rabbits_husbandry_dipping_jetting,rabbits,product_category_husbandry_dipping_jetting
rabbits_husbandry_veterinary,rabbits,product_category_husbandry_veterinary
rabbits_husbandry_shearing,rabbits,product_category_husbandry_shearing
rabbits_husbandry_crutching,rabbits,product_category_husbandry_crutching
rabbits_marketing_livestock_sales_marketing_fees,rabbits,product_category_marketing_livestock_sales_marketing_fees
rabbits_marketing_livestock_products_marketing_fees,rabbits,product_category_marketing_livestock_products_marketing_fees
rabbits_marketing_livestock_transport,rabbits,product_category_marketing_livestock_transport
rabbits_indirect_fuel,rabbits,product_category_indirect_fuel
rabbits_indirect_repairs_maintenance,rabbits,product_category_indirect_repairs_maintenance
rabbits_indirect_electricity,rabbits,product_category_indirect_electricity
rabbits_indirect_water,rabbits,product_category_indirect_water
rabbits_indirect_permanent_labour,rabbits,product_category_indirect_permanent_labour
rabbits_indirect_license,rabbits,product_category_indirect_license
rabbits_indirect_insurance_assets,rabbits,product_category_indirect_insurance_assets
rabbits_indirect_other_overheads,rabbits,product_category_indirect_other_overheads
sheep_livestock_sheep_lamb,sheep,product_category_livestock_sheep_lamb
sheep_livestock_sheep_weaner_lamb,sheep,product_category_livestock_sheep_weaner_lamb
sheep_livestock_sheep_ewe,sheep,product_category_livestock_sheep_ewe
sheep_livestock_sheep_wether,sheep,product_category_livestock_sheep_wether
sheep_livestock_sheep_ram,sheep,product_category_livestock_sheep_ram
sheep_livestock_products_wool,sheep,product_category_livestock_products_wool
sheep_livestock_products_milk,sheep,product_category_livestock_products_milk
sheep_animal_feed_crop,sheep,product_category_animal_feed_crop
sheep_animal_feed_lick,sheep,product_category_animal_feed_lick
sheep_husbandry_drenching_vaccination,sheep,product_category_husbandry_drenching_vaccination
sheep_husbandry_dipping_jetting,sheep,product_category_husbandry_dipping_jetting
sheep_husbandry_veterinary,sheep,product_category_husbandry_veterinary
sheep_husbandry_shearing,sheep,product_category_husbandry_shearing
sheep_husbandry_crutching,sheep,product_category_husbandry_crutching
sheep_marketing_livestock_sales_marketing_fees,sheep,product_category_marketing_livestock_sales_marketing_fees
sheep_marketing_livestock_products_marketing_fees,sheep,product_category_marketing_livestock_products_marketing_fees
sheep_marketing_livestock_transport,sheep,product_category_marketing_livestock_transport
sheep_indirect_fuel,sheep,product_category_indirect_fuel
sheep_indirect_repairs_maintenance,sheep,product_category_indirect_repairs_maintenance
sheep_indirect_electricity,sheep,product_category_indirect_electricity
sheep_indirect_water,sheep,product_category_indirect_water
sheep_indirect_permanent_labour,sheep,product_category_indirect_permanent_labour
sheep_indirect_license,sheep,product_category_indirect_license
sheep_indirect_insurance_assets,sheep,product_category_indirect_insurance_assets
sheep_indirect_other_overheads,sheep,product_category_indirect_other_overheads
